,count,mean,std,min,25%,50%,75%,max,missing,clickbait_count,clickbait_mean,clickbait_std,clickbait_min,clickbait_25%,clickbait_50%,clickbait_75%,clickbait_max,non_clickbait_count,non_clickbait_mean,non_clickbait_std,non_clickbait_min,non_clickbait_25%,non_clickbait_50%,non_clickbait_75%,non_clickbait_max
v_cnn_0,1556.0,0.04314007765322398,0.11025107048476858,0.0,0.0,0.0,0.03597914525,1.2673,0,780.0,0.05545516809777564,0.12219937259518165,0.0,0.0,0.004262639,0.05386688825,1.0509068,776.0,0.030761507361019975,0.09525331040030156,0.0,0.0,0.0,0.015811620499999998,1.2673
v_cnn_1,1556.0,0.05581304264387404,0.11701077150746485,0.0,0.0,0.0098556455,0.057784163750000006,1.0070286,0,780.0,0.061575366531743586,0.11541346113511185,0.0,0.0,0.01334012,0.073870485,1.0070286,776.0,0.050021016055551544,0.1183864327313693,0.0,0.0,0.0056070575,0.04375459175,0.99533087
v_cnn_2,1556.0,0.1369344656663618,0.23725834778959445,0.0,0.0,0.039421003499999996,0.16071911249999998,2.1809483,0,780.0,0.1516483290660308,0.24200595036926567,0.0,0.00398705645,0.062871195,0.194697455,2.1809483,776.0,0.12214475760999356,0.2316034226577959,0.0,0.0,0.0249886885,0.1248427895,2.1454775
v_cnn_3,1556.0,0.1427371625919852,0.3748521132873903,0.0,0.0,0.0,0.1147851375,5.9546714,0,780.0,0.18409318906871794,0.429904225822478,0.0,0.0,0.0187614865,0.1940148425,5.9546714,776.0,0.10116796072104252,0.30448584848613747,0.0,0.0,0.0,0.056504329,3.10821
v_cnn_4,1556.0,0.6898126583719583,0.7541543692550869,0.0,0.1002954485,0.41998717,1.05717945,4.308157,0,780.0,0.5980154047756756,0.6484554647908127,0.0,0.1073136325,0.37538407,0.884952965,4.1469836,776.0,0.7820830936878094,0.8375537403198865,0.0,0.0947838205,0.47686737,1.2736349,4.308157
v_cnn_5,1556.0,0.04730784672988946,0.10825544558657958,0.0,0.0,0.00096023205,0.045473083,1.1908257,0,780.0,0.05102500604133718,0.10789312442263027,0.0,0.0,0.00367489275,0.0553329475,1.067063,776.0,0.04357152680343428,0.10855965177446444,0.0,0.0,0.0,0.037940391749999997,1.1908257
v_cnn_6,1556.0,0.07469150062641067,0.1887146178574256,0.0,0.0,0.0052955198499999995,0.0649951175,2.0274768,0,780.0,0.08285400357167949,0.18510508360273126,0.0,0.0,0.01375055675,0.077345685,1.8828502,776.0,0.06648692292369202,0.19204421492556634,0.0,0.0,0.0,0.04981011025,2.0274768
v_cnn_7,1556.0,1.0270509809068193,0.97057596302008,0.0,0.239312015,0.7891636200000001,1.51648245,6.1313796,0,780.0,1.030869194979359,0.926187105334532,0.0,0.30295091,0.80618163,1.4547999,5.345966,776.0,1.023213085318442,1.0138212302643366,0.0,0.19447609999999999,0.7544521399999999,1.545438725,6.1313796
v_cnn_8,1556.0,0.044345911584719795,0.15983353955569946,0.0,0.0,0.0,0.018378555,2.626475,0,780.0,0.04733735642678718,0.15441964086951068,0.0,0.0,0.0,0.022648499250000002,1.8470583,776.0,0.041339046923878874,0.16514169829359943,0.0,0.0,0.0,0.01460047075,2.626475
v_cnn_9,1556.0,0.019572504758030847,0.0642401018339255,0.0,0.0,0.0,0.0029108537499999997,0.83149064,0,780.0,0.026612201752367944,0.0764495151400302,0.0,0.0,0.0,0.0073345334249999995,0.7458885,776.0,0.012496520665784794,0.04801563219620243,0.0,0.0,0.0,0.0,0.83149064
v_cnn_10,1556.0,0.061824744124181236,0.1418571535471491,0.0,0.0,0.0,0.0525125395,1.6080158,0,780.0,0.0780372862271154,0.15608331186183483,0.0,0.0,0.0070543750500000005,0.082530335,1.6080158,776.0,0.045528632216592785,0.12392959662157502,0.0,0.0,0.0,0.026951895,1.1441817
v_cnn_11,1556.0,0.012466955629401026,0.0653879456396681,0.0,0.0,0.0,0.0,1.6029521,0,780.0,0.012595983759833333,0.04821450049448093,0.0,0.0,0.0,0.0,0.5187568,776.0,0.012337262405512887,0.07900684458743774,0.0,0.0,0.0,0.0,1.6029521
v_cnn_12,1556.0,0.05271602767414139,0.13342175600986672,0.0,0.0,0.00327761075,0.052340191,2.4899025,0,780.0,0.06001471096846153,0.13819563737704307,0.0,0.0,0.0099002805,0.06672089749999999,2.4899025,776.0,0.04537972230098454,0.12811505569863843,0.0,0.0,0.0,0.034625677,1.9285603
v_cnn_13,1556.0,0.0996083099352558,0.19418394773211614,0.0,0.0,0.0257576075,0.11063598250000001,2.8975086,0,780.0,0.11867728434548719,0.19757888555012515,0.0,0.0031449699499999997,0.0435759865,0.14082838,1.6797897,776.0,0.08044104184249742,0.18890567825525717,0.0,0.0,0.0145468815,0.08251969499999999,2.8975086
v_cnn_14,1556.0,0.04434765397565232,0.13198624185144092,0.0,0.0,0.0,0.02985261125,2.1431599,0,780.0,0.042751391259339744,0.10649119793488108,0.0,0.0,0.0,0.03268404325,0.9047651,776.0,0.04595214485029638,0.15345708564380375,0.0,0.0,0.0,0.0267869815,2.1431599
v_cnn_15,1556.0,0.4062453414049678,0.5873597905984043,0.0,0.046179545,0.195821875,0.5033755025,4.7313557,0,780.0,0.38985875738139736,0.529435998937941,0.0,0.05897868825,0.19910473,0.49731692,3.2747529,776.0,0.42271639235649483,0.640248156150034,0.0,0.0317505675,0.17927045,0.50905731,4.7313557
